X;Y;ID
4184648.79800205;3832719.741412;139763
4185039.98925179;3833406.66378212;139764
4185431.20792365;3834093.59732935;139765
4185822.45401503;3834780.54204535;139766
4186213.72752336;3835467.49792183;139767
4186605.02844605;3836154.46495047;139768
4186996.3567805;3836841.44312297;139769
4187387.71252413;3837528.432431;139770
4187779.09567435;3838215.43286625;139771
4188170.50622856;3838902.44442041;139772
4188561.94418417;3839589.46708513;139773
4188953.40953859;3840276.50085214;139774
4189344.90228922;3840963.54571307;139775
4189736.42243346;3841650.60165963;139776
4190127.96996872;3842337.66868349;139777
4190519.5448924;3843024.74677632;139778
4190911.14720189;3843711.83592978;139779
4191302.77689461;3844398.93613557;139780
4191694.43396794;3845086.04738534;139781
4192086.11841928;3845773.16967077;139782
4192477.83024603;3846460.30298353;139783
4192869.56944559;3847147.44731527;139784
4193261.33601534;3847834.60265767;139785
4193653.12995269;3848521.7690024;139786
4194044.95125501;3849208.94634111;139787
4194436.79991972;3849896.13466547;139788
4194828.67594418;3850583.33396712;139789
4195220.5793258;3851270.54423775;139790
4195612.51006196;3851957.76546901;139791
4196004.46815004;3852644.99765253;139792
4196396.45358744;3853332.24078;139793
4196788.46637153;3854019.49484306;139794
4197180.5064997;3854706.75983335;139795
4197572.57396934;3855394.03574254;139796
4197964.66877781;3856081.32256226;139797
4198356.79092251;3856768.62028418;139798
4198748.94040082;3857455.92889993;139799
4199141.1172101;3858143.24840117;139800
4199533.32134774;3858830.57877954;139801
4199925.55281111;3859517.92002668;139802
4200317.81159759;3860205.27213422;139803
4200710.09770456;3860892.63509383;139804
4201102.41112938;3861580.00889712;139805
4201494.75186942;3862267.39353575;139806
4201887.11992207;3862954.78900134;139807
4202279.51528468;3863642.19528554;139808
4202671.93795462;3864329.61237997;139809
4203064.38792926;3865017.04027627;139810
4203456.86520598;3865704.47896607;139811
4203849.36978213;3866391.92844101;139812
4204241.90165508;3867079.3886927;139813
4204634.46082219;3867766.85971278;139814
4205027.04728082;3868454.34149288;139815
4205419.66102834;3869141.8340246;139816
4205812.3020621;3869829.3372996;139817
4206204.97037947;3870516.85130948;139818
4206597.6659778;3871204.37604587;139819
4206990.38885444;3871891.91150038;139820
4207383.13900676;3872579.45766463;139821
4207775.91643211;3873267.01453023;139822
4208168.72112785;3873954.58208882;139823
4208561.55309131;3874642.160332;139824
4208954.41231987;3875329.74925139;139825
4209347.29881086;3876017.34883859;139826
4209740.21256163;3876704.9590852;139827
4210133.15356955;3877392.57998287;139828
4210526.12183194;3878080.21152317;139829
4210919.11734616;3878767.85369771;139830
4211312.14010956;3879455.50649812;139831
4211705.19011947;3880143.16991599;139832
